Observation Number,dist_cod,county,district,gr_span,enrl_tot,teachers,calw_pct,meal_pct,computer,testscr,comp_stu,expn_stu,str,avginc,el_pct,read_scr,math_scr
1,75119,Alameda,Sunol Glen Unified,KK-08,195,10.89999962,0.510200024,2.040800095,67,690.7999878,0.343589753,6384.911133,17.88990974,22.69000053,0,691.5999756,690
2,61499,Butte,Manzanita Elementary,KK-08,240,11.14999962,15.41670036,47.91669846,101,661.2000122,0.420833319,5099.380859,21.52466393,9.824000359,4.583333492,660.5,661.9000244
3,61549,Butte,Thermalito Union Elementary,KK-08,1550,82.90000153,55.03229904,76.32260132,169,643.5999756,0.109032258,5501.95459,18.69722557,8.977999687,30.00000191,636.2999878,650.9000244
4,61457,Butte,Golden Feather Union Elementary,KK-08,243,14,36.47539902,77.04920197,85,647.7000122,0.349794239,7101.831055,17.3571434,8.977999687,0,651.9000244,643.5
5,61523,Butte,Palermo Union Elementary,KK-08,1335,71.5,33.10860062,78.42700195,171,640.8499756,0.12808989,5235.987793,18.6713295,9.080332756,13.85767746,641.7999878,639.9000244
6,62042,Fresno,Burrel Union Elementary,KK-08,137,6.400000095,12.31879997,86.95649719,25,605.5500488,0.182481751,5580.146973,21.40625,10.41499996,12.40875912,605.7000122,605.4000244
7,68536,San Joaquin,Holt Union Elementary,KK-08,195,10,12.90320015,94.623703,28,606.75,0.14358975,5253.331055,19.5,6.577000141,68.71794891,604.5,609
8,63834,Kern,Vineland Elementary,KK-08,888,42.5,18.80629921,100,66,609,0.074324325,4565.746094,20.89411736,8.173999786,46.95946121,605.5,612.5
9,62331,Fresno,Orange Center Elementary,KK-08,379,19,32.18999863,93.13980103,35,612.5,0.092348285,5355.54834,19.94736862,7.385000229,30.07915688,608.9000244,616.0999756
10,67306,Sacramento,Del Paso Heights Elementary,KK-06,2247,108,78.99420166,87.31639862,0,612.6500244,0,5036.211426,20.80555534,11.61333275,40.27592087,611.9000244,613.4000244
11,65722,Merced,Le Grand Union Elementary,KK-08,446,21,18.60989952,85.87439728,86,615.75,0.192825109,4547.692383,21.23809433,8.930999756,52.91479874,612.7999878,618.7000122
12,62174,Fresno,West Fresno Elementary,KK-08,987,47,71.71309662,98.60559845,56,616.2999878,0.056737587,5447.345215,21,7.385000229,54.60993195,616.5999756,616
